                call logs;App usage;screen state;ligth sensor;accelerometer;heart rate;microphone;gyroscope;GPS;SMS;social media;WiFi;skin temperature;magnetometer;bluetooth
call logs;          0;        4;        11;           7;           14;          1;          8;        2;    17; 15;      1;       4;        1;              0;          1
App usage;          4;        0;         5;           4;            5;          1;          3;        1;     5;  3;      0;       1;        1;              1;          0
screen state;      11;        5;         0;          11;           15;          2;         11;        3;    16;  9;      0;       7;        1;              1;          2
ligth sensor;       7;        4;        11;           0;           12;          2;          8;        3;    11;  5;      0;       3;        1;              1;          1
accelerometer;     14;        5;        15;          12;            0;          3;         17;        5;    22; 11;      1;       6;        1;              2;          1
heart rate;         1;        1;         2;           2;            3;          0;          2;        1;     1;  0;      0;       0;        0;              1;          0
microphone;         8;        3;        11;           8;           17;          2;          0;        4;    16;  8;      1;       6;        0;              2;          1
gyroscope;          2;        1;         3;           3;            5;          1;          4;        0;     4;  2;      0;       2;        0;              2;          0
GPS;               17;        5;        16;          11;           22;          1;         16;        4;     0; 15;      1;       8;        1;              1;          2
SMS;               15;        3;         9;           5;           11;          0;          8;        2;    15;  0;      1;       4;        1;              0;          1
social media;       1;        0;         0;           0;            0;          0;          1;        0;     1;  1;      0;       0;        0;              0;          0
WiFi;               4;        1;         7;           3;            7;          0;          6;        2;     8;  4;      0;       0;        0;              1;          2
skin temperature;   1;        1;         1;           1;            1;          0;          0;        0;     1;  1;      0;       0;        0;              0;          0
magnetometer;       0;        1;         1;           1;            2;          1;          2;        2;     1;  0;      0;       1;        0;              0;          0
bluetooth;          1;        0;         2;           1;            1;          0;          1;        0;     2;  1;      0;       2;        0;              0;          0
